GAME,RADIANT,RADIANT_KILLS,RADIANT_DEATHS,RADIANT_ASSISTS,HEROES,RADIANT_DAMAGE,DIRE,DIRE_KILLS,DIRE_DEATHS,DIRE_ASSISTS,DIRE_DAMAGE,WINNING_PLAYERS
1,Bsu,5,6,2,ursa,16472,Remia,13,3,21,40748,Remia
,Shani,4,8,3,qop,33286,Happynut,5,4,17,19257,Happynut
,Jeleto,3,11,7,bb,13433,Yoshioka,12,1,14,40657,Yoshioka
,nanoir,2,9,7,ogre,12036,Lostwhale,13,9,18,23287,Lostwhale
,geese,7,13,7,rubick,31403,pain peko,4,4,19,7021,pain peko
,Winner: ,Dire,,,,,,,,,,
2,Bsu,23,0,4,jugg,41290,Jeleto,0,15,3,5275,Bsu
,geese,1,5,21,grim,9150,Lostwhale,0,7,6,13274,geese
,nanoir,2,6,7,cm,7922,Remia,13,2,2,23442,nanoir
,Monta,5,0,13,kka,16160,pain peko,1,5,13,14084,Monta
,Happynut,2,7,16,tide,10926,Yoshioka,4,4,3,16004,Happynut
,Winner: ,Radiant,,,,,,,,,,
3,Remia,21,4,11,am,51440,Bsu,45,5,7,134327,Bsu
,Jeleto,7,17,27,centaur,27287,Monta,1,7,27,15697,Monta
,Lostwhale,3,11,23,silencer,23751,Happynut,1,14,23,17819,Happynut
,Yoshioka,8,9,19,wr,55488,nanoir,2,8,23,15535,nanoir
,pain peko,1,13,25,phoenix,23050,geese,5,8,31,26173,geese
,Winner: ,Dire,,,,,,,,,,
4,Bsu,13,3,12,troll,49351,Nixnala,6,11,20,33980,Bsu
,geese,8,12,14,oracle,15978,Yoshioka,14,2,16,39682,geese
,Monta,3,5,17,kka,31748,pain peko,4,11,21,18143,Monta
,Happynut,5,12,11,sk,26226,Remia,18,1,16,43519,Happynut
,nanoir,2,14,7,cm,9770,Lostwhale,4,6,21,25988,nanoir
,Winner: ,Radiant,,,,,,,,,,
5,Bsu,14,1,11,weaver,34858,Remia,15,4,10,41650,Remia
,geese,3,8,18,shaman,15131,Lostwhale,5,9,17,13629,Lostwhale
,tpham,8,5,11,puck,23684,pain peko,3,6,11,11787,pain peko
,nanoir,1,7,8,cm,9272,Yoshioka,4,4,12,24590,Yoshioka
,Nixnala,6,9,8,mars,15772,Monta,2,9,13,14449,Monta
,Winner: ,Dire,,,,,,,,,,
6,tpham,12,1,9,jugg,27215,Bsu,15,7,3,32151,tpham
,Yoshioka,6,2,16,storm,21012,pain peko,1,7,17,8510,Yoshioka
,Nixnala,2,7,15,ns,13749,Monta,3,6,13,6340,Nixnala
,Remia,12,4,16,grim,25978,Jeleto,1,7,8,5704,Remia
,Lostwhale,1,7,17,ogre,13707,nanoir,0,7,12,7124,Lostwhale
,Winner: ,Radiant,,,,,,,,,,
7,Bsu,9,0,2,riki,8774,Remia,3,2,2,11496,Bsu
,pain peko,3,1,7,ww,5636,nanoir,0,5,2,2504,pain peko
,Jeleto,0,3,9,tide,6149,dream,0,6,4,5597,Jeleto
,Monta,1,1,7,kka,4368,tpham,2,0,1,4629,Monta
,Yoshioka,3,0,5,lesh,9715,Lostwhale,0,3,3,2062,Yoshioka
,Winner: ,Radiant,,,,,,,,,,
8,Remia,8,5,7,zeus,33959,pain peko,3,5,17,7099,pain peko
,Lostwhale,4,6,5,jugg,17198,tpham,9,0,17,25687,tpham
,nanoir,2,7,7,lich,12771,Bsu,5,2,9,26035,Bsu
,Monta,7,7,11,bb,26918,Yoshioka,11,5,10,21114,Yoshioka
,dream,1,6,12,io,4926,Jeleto,2,10,13,14219,Jeleto
,Winner: ,Dire,,,,,,,,,,
9,nanoir,2,7,14,cm,28891,Jeleto,7,10,23,27526,Jeleto
,Bsu,14,5,14,invoker,66138,Remia,26,2,9,61955,Remia
,tpham,11,8,17,faceless,38990,Yoshioka,3,10,17,19217,Yoshioka
,dream,4,13,16,ogre,16641,Monta,4,8,26,34008,Monta
,Lostwhale,4,12,16,centaur,18884,pain peko,3,8,27,39094,pain peko
,Winner: ,Dire,,,,,,,,,,
10,Bsu,9,2,8,pa,20525,Monta,2,4,6,10092,Bsu
,Yoshioka,4,2,2,timber,14768,dream,3,1,5,16437,Yoshioka
,Miyuki,4,2,9,ogre,7300,pain peko,2,6,7,5532,Miyuki
,Nixnala,2,4,8,magnus,8320,geese,0,7,9,9019,Nixnala
,nanoir,6,3,6,lich,8765,Lostwhale,5,7,3,8813,nanoir
,Winner: ,Radiant,,,,,,,,,,
11,Miyuki,1,1,12,warlock,8709,Bsu,4,6,6,13248,Miyuki
,Remia,13,2,10,pugna,22090,Lostwhale,0,6,4,8434,Remia
,dream,3,4,12,mars,12513,Yoshioka,2,6,6,12396,dream
,Kana,10,2,11,spectre,17728,nanoir,6,6,3,11954,Kana
,pain peko,3,6,16,jakiro,11940,Monta,3,6,3,11909,pain peko
,Winner: ,Radiant,,,,,,,,,,
12,Monta,3,13,14,centaur,19109,Bsu,22,3,15,64402,Bsu
,Remia,4,7,13,vs,28280,dream,6,3,22,19185,dream
,Lostwhale,2,11,10,ogre,16353,nanoir,3,9,14,11406,nanoir
,Miyuki,8,8,10,grim,15177,Yoshioka,12,2,19,39542,Yoshioka
,Kana,9,5,8,weaver,37533,pain peko,1,11,23,8627,pain peko
,Winner: ,Dire,,,,,,,,,,
13,Yoshioka,2,3,4,puck,18844,Bsu,5,0,13,21056,Bsu
,Nixnala,0,6,3,ns,7498,geese,8,1,10,14162,geese
,Remia,4,4,4,troll,19518,nanoir,3,1,9,12301,nanoir
,Happynut,3,9,4,clock,12202,Jeleto,1,3,14,12226,Jeleto
,Lostwhale,0,2,7,warlock,7121,pain peko,7,4,11,24222,pain peko
,Winner: ,Dire,,,,,,,,,,
14,Bsu,18,2,23,sk,56823,Lostwhale,2,13,7,15222,Bsu
,Jeleto,4,6,28,tide,20231,Nixnala,4,17,10,18521,Jeleto
,geese,10,6,31,mirana,23231,Yoshioka,7,5,5,84387,geese
,nanoir,7,4,21,lich,16104,pain peko,4,13,11,15796,nanoir
,Happynut,17,4,16,weaver,40670,Remia,5,8,8,28065,Happynut
,Winner: ,Radiant,,,,,,,,,,
15,Yoshioka,15,2,16,pugna,38921,Bsu,11,6,4,25536,Yoshioka
,pain peko,4,5,22,grim,14766,tpham,1,8,9,12546,pain peko
,Remia,11,3,16,omni,16367,Monta,2,6,11,12253,Remia
,Jeleto,9,5,21,centaur,22091,Lostwhale,1,9,8,13640,Jeleto
,Justin,4,3,27,lion,12907,nanoir,0,14,9,15100,Justin
,Winner: ,Radiant,,,,,,,,,,
16,tpham,1,11,25,mars,20285,Bsu,20,7,10,47568,tpham
,Lostwhale,3,7,21,warlock,13337,Yoshioka,12,5,12,36339,Lostwhale
,Justin,6,12,23,willow,12604,nanoir,2,7,9,1633,Justin
,Remia,21,2,12,tb,61169,Jeleto,0,11,18,13583,Remia
,Monta,8,8,22,zeus,53860,pain peko,5,10,16,12017,Monta
,Winner: ,Radiant,,,,,,,,,,
17,Bsu,5,0,4,am,7841,Justin,2,1,8,9213,Bsu
,Jeleto,1,5,7,tide,6605,Lostwhale,0,3,2,3483,Jeleto
,pain peko,0,0,4,hoodwink,4648,Remia,4,3,5,8050,pain peko
,nanoir,2,3,7,grim,9275,tpham,0,3,3,4867,nanoir
,Yoshioka,3,2,4,invoker,12191,Monta,3,3,1,6047,Yoshioka
,Winner: ,Radiant,,,,,,,,,,
18,pain peko,5,13,18,hoodwink,23050,Bsu,12,8,30,72188,Bsu
,Jeleto,7,17,24,tide,44364,Remia,11,7,44,44438,Remia
,Yoshioka,10,5,16,qop,52423,Lostwhale,11,12,33,26873,Lostwhale
,geese,1,19,19,shaman,15988,Nixnala,9,12,32,43257,Nixnala
,tpham,20,7,4,jugg,58625,Monta,18,5,33,77816,Monta
,Winner: ,Dire,,,,,,,,,,
19,Bsu,2,1,5,drow,12081,Lostwhale,2,2,8,6612,Bsu
,Yoshioka,3,2,3,kotl,11387,Monta,10,4,1,11755,Yoshioka
,tpham,7,3,5,naix,13608,Remia,4,3,3,10131,tpham
,Happynut,1,8,9,necro,8517,pain peko,3,5,5,7960,Happynut
,Nixnala,5,6,6,sd,8919,Jeleto,1,4,5,9010,Nixnala
,Winner: ,Radiant,,,,,,,,,,
20,Yoshioka,7,3,14,magnus,10349,Yoshioka,4,6,2,19771,Yoshioka
,geese,5,4,18,cm,10676,geese,4,13,6,19326,geese
,Lostwhale,12,1,17,wk,32801,Lostwhale,0,9,4,14721,Lostwhale
,dream,5,8,22,grim,11536,dream,2,10,6,15686,dream
,Monta,12,0,11,blood,24901,Monta,4,6,2,14120,Monta
,Winner: ,Radiant,,,,,,,,,,
21,Monta,8,0,16,brew,14655,Bsu,7,4,10,19240,Monta
,Lostwhale,1,6,22,tide,11483,Nixnala,2,10,3,7461,Lostwhale
,geese,8,2,12,oracle,11045,dream,4,5,7,9990,geese
,Remia,14,2,10,pa,35311,Yoshioka,5,3,3,24004,Remia
,pain peko,2,8,12,jakiro,12784,nanoir,0,11,5,8075,pain peko
,Winner: ,Radiant,,,,,,,,,,
22,Bsu,3,7,4,slark,17802,pain peko,3,4,19,11033,pain peko
,geese,3,11,9,oracle,10386,Remia,7,2,20,26867,Remia
,nanoir,3,7,6,lich,20362,dream,14,3,21,51206,dream
,Monta,0,5,4,kka,19148,Lostwhale,3,5,17,12228,Lostwhale
,Nixnala,3,10,8,magnus,12705,Yoshioka,13,0,13,49085,Yoshioka
,Winner: ,Dire,,,,,,,,,,
23,tpham,25,3,16,sniper,48586,Bsu,12,8,4,33179,tpham
,Lostwhale,4,6,27,ogre,10704,Happynut,3,11,8,10892,Lostwhale
,tpham,8,3,24,brew,18061,nanoir,1,13,14,12002,tpham
,Yoshioka,4,3,31,gyro,17660,pain peko,1,14,13,10767,Yoshioka
,dream,10,7,18,mars,18556,Remia,4,5,2,10742,dream
,Winner: ,Radiant,,,,,,,,,,
24,Lostwhale,2,11,22,ogre,13870,Bsu,22,5,16,76906,Bsu
,Remia,23,9,14,od,48904,pain peko,4,8,21,17916,pain peko
,dream,4,11,21,grim,18320,Happynut,6,15,18,14237,Happynut
,nanoir,8,12,15,zeus,41405,Yoshioka,4,7,29,14117,Yoshioka
,Monta,3,11,16,puck,25459,tpham,18,5,20,51090,tpham
,Winner: ,Dire,,,,,,,,,,
25,Yoshioka,13,2,7,vs,21172,tpham,2,6,18,16166,Yoshioka
,Lostwhale,7,7,15,ogre,15741,Remia,13,7,18,20139,Lostwhale
,geese,4,12,16,viper,23682,Happynut,8,11,10,23346,geese
,Jeleto,3,7,18,tide,19424,nanoir,2,4,5,13241,Jeleto
,dream,6,7,13,alch,18892,pain peko,8,7,14,16788,dream
,Winner: ,Radiant,,,,,,,,,,
26,Bsu,14,5,16,drow,51573,Remia,13,4,17,40366,Remia
,Yoshioka,7,11,25,gyro,24439,Jeleto,5,13,18,26626,Jeleto
,tpham,5,10,18,tiny,15447,dream,14,4,12,27602,dream
,nanoir,6,8,15,razor,19303,Lostwhale,5,9,19,21741,Lostwhale
,Happynut,9,9,18,bb,42176,pain peko,5,12,15,20385,pain peko
,Winner: ,Dire,,,,,,,,,,
27,Bsu,12,1,12,spectre,24814,Happynut,2,9,7,7096,Bsu
,Yoshioka,11,4,2,od,18057,tpham,6,7,11,9613,Yoshioka
,Jeleto,3,5,13,underlord,13779,Remia,6,5,7,29824,Jeleto
,nanoir,3,5,11,cm,9607,Lostwhale,3,8,4,7693,nanoir
,pain peko,5,6,15,oracle,8422,dream,3,5,9,11097,pain peko
,Winner: ,Radiant,,,,,,,,,,
28,Remia,2,9,6,shaker,6724,dream,9,1,9,18040,dream
,tpham,1,1,2,am,2800,Bsu,8,0,13,25301,Bsu
,Yoshioka,6,5,3,dp,20728,nanoir,3,3,11,6789,nanoir
,Lostwhale,0,10,4,shaman,3736,Jeleto,7,4,8,14669,Jeleto
,Happynut,1,7,2,weaver,7942,pain peko,5,3,11,8385,pain peko
,Winner: ,Dire,,,,,,,,,,
29,nanoir,5,6,15,ember,21755,Bsu,13,7,26,56238,nanoir
,Monta,5,13,21,kka,14095,geese,6,10,33,22073,Monta
,dream,15,7,22,spectre,64336,chesticlez,8,8,9,30454,dream
,Remia,11,15,23,pudge,33797,tpham,14,9,11,60533,Remia
,Yoshioka,8,8,21,ds,43776,pain peko,8,10,23,12613,Yoshioka
,Winner: ,Radiant,,,,,,,,,,
30,Yoshioka,11,10,21,viper,26391,Bsu,2,10,23,21453,Yoshioka
,Monta,6,7,27,puck,30363,tpham,16,9,6,42439,Monta
,Remia,18,7,16,faceless,41678,dream,10,7,11,17479,Remia
,nanoir,5,4,15,ember,21428,pain peko,4,10,14,22190,nanoir
,Lostwhale,7,11,27,aa,24732,Happynut,6,11,12,21225,Lostwhale
,Winner: ,Radiant,,,,,,,,,,
31,Yoshioka,8,10,20,clock,33428,Bsu,19,5,6,76116,Bsu
,nanoir,9,2,16,ember,25992,pain peko,2,14,16,11597,pain peko
,Lostwhale,9,6,21,warlock,29971,Monta,6,6,23,23419,Monta
,Remia,6,5,17,jugg,30611,Happynut,5,9,11,15758,Happynut
,tpham,9,9,23,gyro,21442,dream,0,10,15,8125,dream
,Winner: ,Dire,,,,,,,,,,
32,LISA,4,1,15,tide,10688,Yoshioka,4,2,13,21465,LISA
,Remia,10,6,9,riki,22387,Monta,0,10,5,5660,Remia
,Lostwhale,2,2,11,warlock,11101,pain peko,3,6,9,13936,Lostwhale
,geese,6,10,14,viper,20709,nanoir,4,5,5,8915,geese
,tpham,5,1,9,jugg,23495,Bsu,8,4,6,27950,tpham
,Winner: ,Radiant,,,,,,,,,,
33,Jeleto,0,15,3,centaur,13157,Yoshioka,3,0,18,21435,Yoshioka
,Paper,0,9,4,jakiro,8184,tpham,12,2,15,23646,tpham
,Monta,0,7,4,magnus,6221,geese,16,2,21,21634,geese
,Bsu,5,6,4,am,11372,Lostwhale,7,4,16,11613,Lostwhale
,pain peko,4,11,7,oracle,8397,Miyuki,9,2,17,17120,Miyuki
,Winner: ,Dire,,,,,,,,,,
34,Yoshioka,20,5,15,timber,48411,Paper,4,11,19,20087,Yoshioka
,Lostwhale,5,15,25,lich,24065,Monta,10,9,29,38531,Lostwhale
,Miyuki,4,11,29,ogre,26238,geese,9,11,25,27572,Miyuki
,Bsu,20,7,12,sven,46840,pain peko,10,11,14,19878,Bsu
,Jeleto,4,11,22,dk,24303,tpham,16,12,21,83241,Jeleto
,Winner: ,Radiant,,,,,,,,,,
35,Miyuki,3,6,5,nyx,8339,Yoshioka,14,0,9,23341,Yoshioka
,geese,2,8,3,grim,10624,Lostwhale,2,6,11,7102,Lostwhale
,pain peko,5,9,8,jakiro,12244,Monta,1,2,19,12298,Monta
,nanoir,2,4,1,ember,6058,Bsu,6,2,9,12855,Bsu
,tpham,4,4,7,drow,13099,Paper,6,7,5,7584,Paper
,Winner: ,Dire,,,,,,,,,,
36,geese,9,10,5,grim,11391,Bsu,8,3,8,21977,Bsu
,Monta,1,4,6,kka,6799,Yoshioka,4,4,15,12516,Yoshioka
,Remia,7,2,6,naix,8179,Miyuki,9,4,8,13739,Miyuki
,pain peko,2,8,4,hoodwink,12614,Paper,2,7,17,12560,Paper
,Lostwhale,2,7,13,mars,11331,tpham,8,3,7,17016,tpham
,Winner: ,Dire,,,,,,,,,,
37,Yoshioka,4,5,14,aa,20029,tpham,7,5,13,17282,tpham
,Coolgav,5,6,4,mars,9998,Bsu,18,1,9,36572,Bsu
,Monta,5,5,7,sk,19994,Lostwhale,4,6,18,13045,Lostwhale
,Happynut,2,11,9,nyx,13656,chesticlez,3,5,6,12007,chesticlez
,Remia,8,6,4,luna,25958,pain peko,1,7,17,7659,pain peko
,Winner: ,Dire,,,,,,,,,,
38,chesticlez,2,7,4,od,12990,Yoshioka,4,4,17,12990,Yoshioka
,pain peko,0,8,8,aa,6082,Coolgav,2,5,9,6082,Coolgav
,Remia,12,5,5,riki,53302,Bsu,18,0,10,53302,Bsu
